YearMonth,revenue
2009-12,686654.15999999491
2010-01,557319.06200001342
2010-02,506371.06600001536
2010-03,699608.99099998886
2010-04,594609.19199999759
2010-05,599985.79000000749
2010-06,639066.58000000578
2010-07,591636.74000000244
2010-08,604242.64999999886
2010-09,831615.0009999905
2010-10,1036679.9999999028
2010-11,1172336.0419998672
2010-12,884591.88999997289
2011-01,569445.04000000772
2011-02,447137.35000001651
2011-03,595500.760000013
2011-04,469200.36100001319
2011-05,678594.5600000018
2011-06,661213.69000001147
2011-07,600091.01100001414
2011-08,645343.900000009
2011-09,952838.38199999649
2011-10,1039318.7899999822
2011-11,1161817.3799999433
2011-12,518210.7900000037
