Country,revenue
United Kingdom,14723147.517001621
EIRE,621631.1100000079
Netherlands,554232.34000000358
Germany,431262.46100000112
France,355257.46999999764
Australia,169968.10999999967
Spain,109178.52999999905
Switzerland,100365.33999999978
Sweden,91549.719999999943
Denmark,69862.189999999988
Belgium,65753.420000000318
Norway,60109.620000000155
Portugal,57285.3000000002
Japan,47138.389999999963
Channel Islands,44996.760000000271
Italy,32550.420000000024
Finland,29925.539999999968
Singapore,25317.059999999976
Cyprus,24980.130000000045
Austria,23613.010000000038
Greece,19096.190000000031
Poland,10902.449999999988
Israel,10421.089999999995
United Arab Emirates,9202.6899999999878
Unspecified,8613.6499999999869
USA,8366.8599999999933
Malta,8099.0899999999983
Lithuania,6553.7400000000016
Iceland,5633.3199999999915
Canada,4883.0399999999981
Thailand,3070.5399999999981
RSA,1933.7400000000005
Lebanon,1693.8800000000003
Brazil,1411.87
Bahrain,1354.37
European Community,1300.2500000000002
Korea,1118.51
Czech Republic,826.74000000000012
West Indies,536.40999999999985
Saudi Arabia,145.92
Nigeria,140.39
