CustomerID,avg_days_between_orders
12346,57.0
12347,57.0
12348,91.0
12349,190.0
12352,45.0
12353,204.0
12355,353.0
12356,80.0
12357,355.0
12358,183.0
12359,75.0
12360,86.0
12361,132.0
12362,74.0
12363,133.0
12364,35.0
12369,114.0
12370,123.0
12371,200.0
12372,113.0
12373,181.0
12374,282.0
12375,88.0
12376,28.0
12377,91.0
12378,433.0
12379,151.0
12380,92.0
12381,29.0
12383,42.0
12384,93.0
12386,29.0
12388,81.0
12389,127.0
12391,160.0
12393,71.0
12394,154.0
12395,45.0
12397,100.0
12399,88.0
12402,69.0
12403,472.0
12406,169.0
12407,54.0
12408,78.0
12409,81.0
12410,194.0
12412,93.0
12413,112.0
12414,82.0
12415,23.0
12417,38.0
12418,173.0
12419,28.0
12421,98.0
12422,48.0
12423,52.0
12424,193.0
12425,370.0
12426,468.0
12427,175.0
12428,43.0
12429,107.0
12431,29.0
12432,65.0
12433,60.0
12434,149.0
12435,132.0
12437,22.0
12438,126.0
12439,43.0
12440,255.0
12444,38.0
12445,398.0
12449,83.0
12450,80.0
12451,87.0
12454,91.0
12455,72.0
12456,105.0
12457,53.0
12458,139.0
12461,60.0
12462,285.0
12463,63.0
12464,50.0
12465,152.0
12468,124.0
12469,14.0
12471,16.0
12472,39.0
12473,54.0
12474,23.0
12475,356.0
12476,29.0
12477,75.0
12480,80.0
12481,49.0
12482,15.0
12483,39.0
12484,59.0
12488,33.0
12490,37.0
12492,170.0
12493,32.0
12494,70.0
12497,282.0
12498,36.0
12500,41.0
12502,54.0
12504,193.0
12507,150.0
12508,3.0
12510,85.0
12514,374.0
12516,174.0
12517,54.0
12518,28.0
12519,413.0
12520,49.0
12522,12.0
12523,32.0
12524,44.0
12525,75.0
12526,47.0
12527,112.0
12528,61.0
12530,73.0
12531,672.0
12533,111.0
12535,95.0
12536,16.0
12538,349.0
12539,139.0
12540,24.0
12541,126.0
12542,156.0
12545,184.0
12546,31.0
12547,152.0
12549,31.0
12552,1.0
12553,38.0
12556,101.0
12557,101.0
12559,9.0
12560,69.0
12562,53.0
12567,50.0
12569,10.0
12571,82.0
12572,43.0
12573,60.0
12575,69.0
12576,70.0
12577,175.0
12578,141.0
12580,330.0
12582,113.0
12583,28.0
12584,35.0
12585,117.0
12586,235.0
12588,279.0
12589,165.0
12591,46.0
12592,214.0
12593,55.0
12594,47.0
12596,191.0
12597,83.0
12598,71.0
12599,46.0
12600,35.0
12601,43.0
12604,182.0
12605,27.0
12609,80.0
12610,26.0
12613,95.0
12615,105.0
12616,147.0
12619,60.0
12620,95.0
12621,22.0
12623,70.0
12624,71.0
12625,128.0
12626,38.0
12627,22.0
12628,30.0
12629,38.0
12630,34.0
12631,159.0
12632,44.0
12633,78.0
12634,13.0
12635,122.0
12637,48.0
12638,606.0
12639,195.0
12640,29.0
12642,41.0
12643,48.0
12644,188.0
12645,91.0
12646,45.0
12647,22.0
12648,182.0
12649,98.0
12651,44.0
12652,103.0
12653,189.0
12654,95.0
12656,78.0
12657,34.0
12662,34.0
12663,44.0
12664,72.0
12665,173.0
12668,74.0
12669,53.0
12670,109.0
12672,266.0
12673,198.0
12674,56.0
12675,25.0
12676,57.0
12677,111.0
12678,39.0
12679,75.0
12680,38.0
12681,17.0
12682,16.0
12683,45.0
12684,34.0
12685,13.0
12689,102.0
12691,65.0
12693,66.0
12694,176.0
12695,110.0
12696,74.0
12697,71.0
12700,69.0
12701,111.0
12703,204.0
12704,27.0
12705,47.0
12708,41.0
12709,26.0
12710,53.0
12711,65.0
12712,35.0
12714,66.0
12716,130.0
12717,220.0
12719,60.0
12720,21.0
12721,63.0
12722,22.0
12723,31.0
12724,88.0
12725,71.0
12726,60.0
12727,80.0
12728,78.0
12731,42.0
12733,152.0
12734,20.0
12735,22.0
12739,105.0
12741,4.0
12744,77.0
12745,98.0
12747,29.0
12748,4.0
12749,86.0
12753,68.0
12754,37.0
12755,46.0
12757,25.0
12758,104.0
12759,98.0
12761,7.0
12762,18.0
12763,231.0
12765,34.0
12766,51.0
12770,246.0
12775,65.0
12778,73.0
12779,54.0
12781,221.0
12782,52.0
12783,18.0
12784,260.0
12785,184.0
12787,135.0
12788,22.0
12789,314.0
12790,218.0
12791,63.0
12792,278.0
12793,34.0
12794,45.0
12797,59.0
12798,137.0
12800,206.0
12802,63.0
12804,35.0
12805,98.0
12806,51.0
12808,107.0
12809,235.0
12810,142.0
12811,42.0
12813,96.0
12815,51.0
12816,81.0
12817,77.0
12820,73.0
12821,397.0
12822,17.0
12823,43.0
12825,120.0
12826,65.0
12827,20.0
12828,26.0
12829,107.0
12830,34.0
12831,201.0
12832,66.0
12835,9.0
12836,52.0
12837,396.0
12838,62.0
12839,29.0
12840,89.0
12841,14.0
12842,222.0
12843,24.0
12844,188.0
12845,8.0
12847,365.0
12849,112.0
12851,381.0
12853,90.0
12854,108.0
12855,15.0
12856,11.0
12857,95.0
12862,70.0
12863,107.0
12864,370.0
12865,150.0
12866,110.0
12867,58.0
12868,30.0
12870,125.0
12871,178.0
12872,37.0
12873,200.0
12874,169.0
12875,139.0
12876,178.0
12877,36.0
12878,30.0
12879,24.0
12880,193.0
12882,24.0
12883,65.0
12885,60.0
12886,152.0
12888,41.0
12889,40.0
12890,363.0
12891,47.0
12895,44.0
12897,113.0
12898,196.0
12901,12.0
12904,154.0
12905,106.0
12906,67.0
12907,99.0
12908,114.0
12909,102.0
12910,66.0
12912,10.0
12913,61.0
12915,147.0
12916,91.0
12917,151.0
12919,32.0
12920,354.0
12921,15.0
12923,256.0
12924,64.0
12925,294.0
12926,105.0
12928,51.0
12930,93.0
12931,17.0
12932,21.0
12933,118.0
12935,50.0
12936,31.0
12937,90.0
12939,42.0
12940,33.0
12942,117.0
12943,47.0
12944,319.0
12945,368.0
12947,46.0
12948,90.0
12949,47.0
12950,11.0
12951,49.0
12952,37.0
12953,513.0
12955,27.0
12956,139.0
12957,72.0
12958,183.0
12960,83.0
12962,106.0
12963,51.0
12967,13.0
12970,182.0
12971,7.0
12972,83.0
12974,368.0
12975,74.0
12976,76.0
12977,178.0
12978,86.0
12980,29.0
12981,104.0
12982,52.0
12985,28.0
12986,43.0
12987,154.0
12989,27.0
12990,98.0
12991,183.0
12993,106.0
12994,132.0
12997,84.0
12998,81.0
12999,25.0
13000,206.0
13001,23.0
